Index	Timecode	Active Area Aspect Ratio	Anamorphic Lens Squeeze Ratio	Aperture Ring T Stop Position	Aperture Value	Aspect Ratio	Audio Bit Depth	Audio Codec	Audio Sampling Rate	Auto Exposure Mode	Auto Focus Sensing Area Setting	Auto White Balance Mode	Camera	Camera Attributes	Camera Knee Point	Camera Knee Slope	Camera Master Black Level	Camera Master Gain Adjustment	Camera Roll Angle	Camera Tilt Angle	Capture FPS	Capture Gamma Equation	Color For Look	Color Primaries	Cooke Distortion Mapping	Cooke Inertial Data	Cooke Protocol User Metadata	Creation Date	Current Focal Length	Drop Frame	Duration	Effective Marker Aspect Ratio	Electrical Extender Magnification	Embedded 3DLUT	End	Entrance Pupil Position	Exposure Index	Far Focus Distance	Focus Distance	Focus Position From Image Plane	Focus Ring Position	Format FPS	Gamma For Look	Gamma for CDL	Horizontal Field of View	Hyperfocal Distance	ISO Sensitivity	Image Orientation	Image Sensor Dimension Effective Height	Image Sensor Dimension Effective Width	Image Sensor Readout Mode	Iris F-Number	Iris Ring Position	Iris T-Number	LED Wall Color Temperature	LED Wall Moire Alert Level	Lens Attributes	Lens Serial Number	Lens Zoom 35mm Still Camera Equivalent	Lens Zoom Actual Focal Length	Light Blend Ratio with LED Wall	Look Process Baked	Macro Setting	Monitoring Base Curve	Monitoring Characteristics	Monitoring Coding Equations	Monitoring Color Primaries	Monitoring Descriptions	ND Filter Wheel	Near Focus Distance	Normalised Zoom Value	Number of Audio Channels	Optical Extender Magnification	Pixel Aspect Ratio	Post-CDL Transform	Pre-CDL Transform	Raw Black Code	Raw Gray Code	Raw White Code	Resolution	Rotary Shutter Mode	Shutter Speed Angle	Shutter Speed Time	Start	Sub Sampling	Tint Correction	UMID	User Frame Line1	User Frame Line2	Video Bit Depth	Video Codec	Video Signal	White Balance	ZEISS eXtended Data	Zoom Ring Position	
144	00:03:30:11	6048:4032				3:2	24	LPCM	48000	ManualExposureMode	ManualFocusMode	PresetWhiteBalanceSetup	VENICE 2/CineAltaV 2	MPC-3626 0010007 Version3.00				0.00dB	0.10000	-1.30000	24p	scene-linear	s-gamut3-cine					2025-07-25 14:59:51		NDF	00:00:07:12	6048:4032	100%	SL3SG3Ctos709.cube	00:03:31:23		500			2.33m	14235	24p	s-log3-cine	rec709			500	normal	23950um	35925um	ProgressiveFrame	22	44897				 T2.5_200 CMot		200mm	200mm		false		rec709	rec709	rec709	rec709	EMB1:SL3SG3Ctos709.cube	Clear			4	100%	1:1	none	EMB1:SL3SG3Ctos709.cube	512	1504	5472	6048x4032		172.50deg	1/50sec	00:03:24:12		0.00000	060A2B340101010501010D4313000000464AF93F810806CD143FA6FFFE70E4D1	5478x3830+0+0	5482x2284+0+0		X-OCN XT		5600		32768	
145	00:03:30:12	6048:4032				3:2	24	LPCM	48000	ManualExposureMode	ManualFocusMode	PresetWhiteBalanceSetup	VENICE 2/CineAltaV 2	MPC-3626 0010007 Version3.00				0.00dB	0.20000	-1.30000	24p	scene-linear	s-gamut3-cine					2025-07-25 14:59:51		NDF	00:00:07:12	6048:4032	100%	SL3SG3Ctos709.cube	00:03:31:23		500			2.33m	14185	24p	s-log3-cine	rec709			500	normal	23950um	35925um	ProgressiveFrame	22	44897				 T2.5_200 CMot		200mm	200mm		false		rec709	rec709	rec709	rec709	EMB1:SL3SG3Ctos709.cube	Clear			4	100%	1:1	none	EMB1:SL3SG3Ctos709.cube	512	1504	5472	6048x4032		172.50deg	1/50sec	00:03:24:12		0.00000	060A2B340101010501010D4313000000464AF93F810806CD143FA6FFFE70E4D1	5478x3830+0+0	5482x2284+0+0		X-OCN XT		5600		32768	
146	00:03:30:13	6048:4032				3:2	24	LPCM	48000	ManualExposureMode	ManualFocusMode	PresetWhiteBalanceSetup	VENICE 2/CineAltaV 2	MPC-3626 0010007 Version3.00				0.00dB	0.20000	-1.30000	24p	scene-linear	s-gamut3-cine					2025-07-25 14:59:51		NDF	00:00:07:12	6048:4032	100%	SL3SG3Ctos709.cube	00:03:31:23		500			2.328m	14185	24p	s-log3-cine	rec709			500	normal	23950um	35925um	ProgressiveFrame	22	44897				 T2.5_200 CMot		200mm	200mm		false		rec709	rec709	rec709	rec709	EMB1:SL3SG3Ctos709.cube	Clear			4	100%	1:1	none	EMB1:SL3SG3Ctos709.cube	512	1504	5472	6048x4032		172.50deg	1/50sec	00:03:24:12		0.00000	060A2B340101010501010D4313000000464AF93F810806CD143FA6FFFE70E4D1	5478x3830+0+0	5482x2284+0+0		X-OCN XT		5600		32768	
147	00:03:30:14	6048:4032				3:2	24	LPCM	48000	ManualExposureMode	ManualFocusMode	PresetWhiteBalanceSetup	VENICE 2/CineAltaV 2	MPC-3626 0010007 Version3.00				0.00dB	0.20000	-1.30000	24p	scene-linear	s-gamut3-cine					2025-07-25 14:59:51		NDF	00:00:07:12	6048:4032	100%	SL3SG3Ctos709.cube	00:03:31:23		500			2.328m	14295	24p	s-log3-cine	rec709			500	normal	23950um	35925um	ProgressiveFrame	22	44897				 T2.5_200 CMot		200mm	200mm		false		rec709	rec709	rec709	rec709	EMB1:SL3SG3Ctos709.cube	Clear			4	100%	1:1	none	EMB1:SL3SG3Ctos709.cube	512	1504	5472	6048x4032		172.50deg	1/50sec	00:03:24:12		0.00000	060A2B340101010501010D4313000000464AF93F810806CD143FA6FFFE70E4D1	5478x3830+0+0	5482x2284+0+0		X-OCN XT		5600		32768	
148	00:03:30:15	6048:4032				3:2	24	LPCM	48000	ManualExposureMode	ManualFocusMode	PresetWhiteBalanceSetup	VENICE 2/CineAltaV 2	MPC-3626 0010007 Version3.00				0.00dB	0.20000	-1.20000	24p	scene-linear	s-gamut3-cine					2025-07-25 14:59:51		NDF	00:00:07:12	6048:4032	100%	SL3SG3Ctos709.cube	00:03:31:23		500			2.332m	14295	24p	s-log3-cine	rec709			500	normal	23950um	35925um	ProgressiveFrame	22	44897				 T2.5_200 CMot		200mm	200mm		false		rec709	rec709	rec709	rec709	EMB1:SL3SG3Ctos709.cube	Clear			4	100%	1:1	none	EMB1:SL3SG3Ctos709.cube	512	1504	5472	6048x4032		172.50deg	1/50sec	00:03:24:12		0.00000	060A2B340101010501010D4313000000464AF93F810806CD143FA6FFFE70E4D1	5478x3830+0+0	5482x2284+0+0		X-OCN XT		5600		32768	
149	00:03:30:16	6048:4032				3:2	24	LPCM	48000	ManualExposureMode	ManualFocusMode	PresetWhiteBalanceSetup	VENICE 2/CineAltaV 2	MPC-3626 0010007 Version3.00				0.00dB	0.20000	-1.20000	24p	scene-linear	s-gamut3-cine					2025-07-25 14:59:51		NDF	00:00:07:12	6048:4032	100%	SL3SG3Ctos709.cube	00:03:31:23		500			2.332m	14524	24p	s-log3-cine	rec709			500	normal	23950um	35925um	ProgressiveFrame	22	44897				 T2.5_200 CMot		200mm	200mm		false		rec709	rec709	rec709	rec709	EMB1:SL3SG3Ctos709.cube	Clear			4	100%	1:1	none	EMB1:SL3SG3Ctos709.cube	512	1504	5472	6048x4032		172.50deg	1/50sec	00:03:24:12		0.00000	060A2B340101010501010D4313000000464AF93F810806CD143FA6FFFE70E4D1	5478x3830+0+0	5482x2284+0+0		X-OCN XT		5600		32768	
150	00:03:30:17	6048:4032				3:2	24	LPCM	48000	ManualExposureMode	ManualFocusMode	PresetWhiteBalanceSetup	VENICE 2/CineAltaV 2	MPC-3626 0010007 Version3.00				0.00dB	0.20000	-1.30000	24p	scene-linear	s-gamut3-cine					2025-07-25 14:59:51		NDF	00:00:07:12	6048:4032	100%	SL3SG3Ctos709.cube	00:03:31:23		500			2.343m	14524	24p	s-log3-cine	rec709			500	normal	23950um	35925um	ProgressiveFrame	22	44897				 T2.5_200 CMot		200mm	200mm		false		rec709	rec709	rec709	rec709	EMB1:SL3SG3Ctos709.cube	Clear			4	100%	1:1	none	EMB1:SL3SG3Ctos709.cube	512	1504	5472	6048x4032		172.50deg	1/50sec	00:03:24:12		0.00000	060A2B340101010501010D4313000000464AF93F810806CD143FA6FFFE70E4D1	5478x3830+0+0	5482x2284+0+0		X-OCN XT		5600		32768	
151	00:03:30:18	6048:4032				3:2	24	LPCM	48000	ManualExposureMode	ManualFocusMode	PresetWhiteBalanceSetup	VENICE 2/CineAltaV 2	MPC-3626 0010007 Version3.00				0.00dB	0.20000	-1.30000	24p	scene-linear	s-gamut3-cine					2025-07-25 14:59:51		NDF	00:00:07:12	6048:4032	100%	SL3SG3Ctos709.cube	00:03:31:23		500			2.349m	14673	24p	s-log3-cine	rec709			500	normal	23950um	35925um	ProgressiveFrame	22	44897				 T2.5_200 CMot		200mm	200mm		false		rec709	rec709	rec709	rec709	EMB1:SL3SG3Ctos709.cube	Clear			4	100%	1:1	none	EMB1:SL3SG3Ctos709.cube	512	1504	5472	6048x4032		172.50deg	1/50sec	00:03:24:12		0.00000	060A2B340101010501010D4313000000464AF93F810806CD143FA6FFFE70E4D1	5478x3830+0+0	5482x2284+0+0		X-OCN XT		5600		32768	
152	00:03:30:19	6048:4032				3:2	24	LPCM	48000	ManualExposureMode	ManualFocusMode	PresetWhiteBalanceSetup	VENICE 2/CineAltaV 2	MPC-3626 0010007 Version3.00				0.00dB	0.20000	-1.30000	24p	scene-linear	s-gamut3-cine					2025-07-25 14:59:51		NDF	00:00:07:12	6048:4032	100%	SL3SG3Ctos709.cube	00:03:31:23		500			2.349m	14673	24p	s-log3-cine	rec709			500	normal	23950um	35925um	ProgressiveFrame	22	44897				 T2.5_200 CMot		200mm	200mm		false		rec709	rec709	rec709	rec709	EMB1:SL3SG3Ctos709.cube	Clear			4	100%	1:1	none	EMB1:SL3SG3Ctos709.cube	512	1504	5472	6048x4032		172.50deg	1/50sec	00:03:24:12		0.00000	060A2B340101010501010D4313000000464AF93F810806CD143FA6FFFE70E4D1	5478x3830+0+0	5482x2284+0+0		X-OCN XT		5600		32768	
153	00:03:30:20	6048:4032				3:2	24	LPCM	48000	ManualExposureMode	ManualFocusMode	PresetWhiteBalanceSetup	VENICE 2/CineAltaV 2	MPC-3626 0010007 Version3.00				0.00dB	0.20000	-1.20000	24p	scene-linear	s-gamut3-cine					2025-07-25 14:59:51		NDF	00:00:07:12	6048:4032	100%	SL3SG3Ctos709.cube	00:03:31:23		500			2.356m	14830	24p	s-log3-cine	rec709			500	normal	23950um	35925um	ProgressiveFrame	22	44897				 T2.5_200 CMot		200mm	200mm		false		rec709	rec709	rec709	rec709	EMB1:SL3SG3Ctos709.cube	Clear			4	100%	1:1	none	EMB1:SL3SG3Ctos709.cube	512	1504	5472	6048x4032		172.50deg	1/50sec	00:03:24:12		0.00000	060A2B340101010501010D4313000000464AF93F810806CD143FA6FFFE70E4D1	5478x3830+0+0	5482x2284+0+0		X-OCN XT		5600		32768	
154	00:03:30:21	6048:4032				3:2	24	LPCM	48000	ManualExposureMode	ManualFocusMode	PresetWhiteBalanceSetup	VENICE 2/CineAltaV 2	MPC-3626 0010007 Version3.00				0.00dB	0.20000	-1.20000	24p	scene-linear	s-gamut3-cine					2025-07-25 14:59:51		NDF	00:00:07:12	6048:4032	100%	SL3SG3Ctos709.cube	00:03:31:23		500			2.356m	14830	24p	s-log3-cine	rec709			500	normal	23950um	35925um	ProgressiveFrame	22	44897				 T2.5_200 CMot		200mm	200mm		false		rec709	rec709	rec709	rec709	EMB1:SL3SG3Ctos709.cube	Clear			4	100%	1:1	none	EMB1:SL3SG3Ctos709.cube	512	1504	5472	6048x4032		172.50deg	1/50sec	00:03:24:12		0.00000	060A2B340101010501010D4313000000464AF93F810806CD143FA6FFFE70E4D1	5478x3830+0+0	5482x2284+0+0		X-OCN XT		5600		32768	
155	00:03:30:22	6048:4032				3:2	24	LPCM	48000	ManualExposureMode	ManualFocusMode	PresetWhiteBalanceSetup	VENICE 2/CineAltaV 2	MPC-3626 0010007 Version3.00				0.00dB	0.20000	-1.20000	24p	scene-linear	s-gamut3-cine					2025-07-25 14:59:51		NDF	00:00:07:12	6048:4032	100%	SL3SG3Ctos709.cube	00:03:31:23		500			2.362m	14923	24p	s-log3-cine	rec709			500	normal	23950um	35925um	ProgressiveFrame	22	44897				 T2.5_200 CMot		200mm	200mm		false		rec709	rec709	rec709	rec709	EMB1:SL3SG3Ctos709.cube	Clear			4	100%	1:1	none	EMB1:SL3SG3Ctos709.cube	512	1504	5472	6048x4032		172.50deg	1/50sec	00:03:24:12		0.00000	060A2B340101010501010D4313000000464AF93F810806CD143FA6FFFE70E4D1	5478x3830+0+0	5482x2284+0+0		X-OCN XT		5600		32768	
156	00:03:30:23	6048:4032				3:2	24	LPCM	48000	ManualExposureMode	ManualFocusMode	PresetWhiteBalanceSetup	VENICE 2/CineAltaV 2	MPC-3626 0010007 Version3.00				0.00dB	0.20000	-1.20000	24p	scene-linear	s-gamut3-cine					2025-07-25 14:59:51		NDF	00:00:07:12	6048:4032	100%	SL3SG3Ctos709.cube	00:03:31:23		500			2.362m	14923	24p	s-log3-cine	rec709			500	normal	23950um	35925um	ProgressiveFrame	22	44897				 T2.5_200 CMot		200mm	200mm		false		rec709	rec709	rec709	rec709	EMB1:SL3SG3Ctos709.cube	Clear			4	100%	1:1	none	EMB1:SL3SG3Ctos709.cube	512	1504	5472	6048x4032		172.50deg	1/50sec	00:03:24:12		0.00000	060A2B340101010501010D4313000000464AF93F810806CD143FA6FFFE70E4D1	5478x3830+0+0	5482x2284+0+0		X-OCN XT		5600		32768	
157	00:03:31:00	6048:4032				3:2	24	LPCM	48000	ManualExposureMode	ManualFocusMode	PresetWhiteBalanceSetup	VENICE 2/CineAltaV 2	MPC-3626 0010007 Version3.00				0.00dB	0.20000	-1.20000	24p	scene-linear	s-gamut3-cine					2025-07-25 14:59:51		NDF	00:00:07:12	6048:4032	100%	SL3SG3Ctos709.cube	00:03:31:23		500			2.362m	14930	24p	s-log3-cine	rec709			500	normal	23950um	35925um	ProgressiveFrame	22	44897				 T2.5_200 CMot		200mm	200mm		false		rec709	rec709	rec709	rec709	EMB1:SL3SG3Ctos709.cube	Clear			4	100%	1:1	none	EMB1:SL3SG3Ctos709.cube	512	1504	5472	6048x4032		172.50deg	1/50sec	00:03:24:12		0.00000	060A2B340101010501010D4313000000464AF93F810806CD143FA6FFFE70E4D1	5478x3830+0+0	5482x2284+0+0		X-OCN XT		5600		32768	
158	00:03:31:01	6048:4032				3:2	24	LPCM	48000	ManualExposureMode	ManualFocusMode	PresetWhiteBalanceSetup	VENICE 2/CineAltaV 2	MPC-3626 0010007 Version3.00				0.00dB	0.20000	-1.20000	24p	scene-linear	s-gamut3-cine					2025-07-25 14:59:51		NDF	00:00:07:12	6048:4032	100%	SL3SG3Ctos709.cube	00:03:31:23		500			2.362m	14930	24p	s-log3-cine	rec709			500	normal	23950um	35925um	ProgressiveFrame	22	44897				 T2.5_200 CMot		200mm	200mm		false		rec709	rec709	rec709	rec709	EMB1:SL3SG3Ctos709.cube	Clear			4	100%	1:1	none	EMB1:SL3SG3Ctos709.cube	512	1504	5472	6048x4032		172.50deg	1/50sec	00:03:24:12		0.00000	060A2B340101010501010D4313000000464AF93F810806CD143FA6FFFE70E4D1	5478x3830+0+0	5482x2284+0+0		X-OCN XT		5600		32768	
159	00:03:31:02	6048:4032				3:2	24	LPCM	48000	ManualExposureMode	ManualFocusMode	PresetWhiteBalanceSetup	VENICE 2/CineAltaV 2	MPC-3626 0010007 Version3.00				0.00dB	0.20000	-1.20000	24p	scene-linear	s-gamut3-cine					2025-07-25 14:59:51		NDF	00:00:07:12	6048:4032	100%	SL3SG3Ctos709.cube	00:03:31:23		500			2.362m	14930	24p	s-log3-cine	rec709			500	normal	23950um	35925um	ProgressiveFrame	22	44897				 T2.5_200 CMot		200mm	200mm		false		rec709	rec709	rec709	rec709	EMB1:SL3SG3Ctos709.cube	Clear			4	100%	1:1	none	EMB1:SL3SG3Ctos709.cube	512	1504	5472	6048x4032		172.50deg	1/50sec	00:03:24:12		0.00000	060A2B340101010501010D4313000000464AF93F810806CD143FA6FFFE70E4D1	5478x3830+0+0	5482x2284+0+0		X-OCN XT		5600		32768	
160	00:03:31:03	6048:4032				3:2	24	LPCM	48000	ManualExposureMode	ManualFocusMode	PresetWhiteBalanceSetup	VENICE 2/CineAltaV 2	MPC-3626 0010007 Version3.00				0.00dB	0.20000	-1.30000	24p	scene-linear	s-gamut3-cine					2025-07-25 14:59:51		NDF	00:00:07:12	6048:4032	100%	SL3SG3Ctos709.cube	00:03:31:23		500			2.362m	14930	24p	s-log3-cine	rec709			500	normal	23950um	35925um	ProgressiveFrame	22	44897				 T2.5_200 CMot		200mm	200mm		false		rec709	rec709	rec709	rec709	EMB1:SL3SG3Ctos709.cube	Clear			4	100%	1:1	none	EMB1:SL3SG3Ctos709.cube	512	1504	5472	6048x4032		172.50deg	1/50sec	00:03:24:12		0.00000	060A2B340101010501010D4313000000464AF93F810806CD143FA6FFFE70E4D1	5478x3830+0+0	5482x2284+0+0		X-OCN XT		5600		32768	
161	00:03:31:04	6048:4032				3:2	24	LPCM	48000	ManualExposureMode	ManualFocusMode	PresetWhiteBalanceSetup	VENICE 2/CineAltaV 2	MPC-3626 0010007 Version3.00				0.00dB	0.20000	-1.30000	24p	scene-linear	s-gamut3-cine					2025-07-25 14:59:51		NDF	00:00:07:12	6048:4032	100%	SL3SG3Ctos709.cube	00:03:31:23		500			2.362m	14930	24p	s-log3-cine	rec709			500	normal	23950um	35925um	ProgressiveFrame	22	44897				 T2.5_200 CMot		200mm	200mm		false		rec709	rec709	rec709	rec709	EMB1:SL3SG3Ctos709.cube	Clear			4	100%	1:1	none	EMB1:SL3SG3Ctos709.cube	512	1504	5472	6048x4032		172.50deg	1/50sec	00:03:24:12		0.00000	060A2B340101010501010D4313000000464AF93F810806CD143FA6FFFE70E4D1	5478x3830+0+0	5482x2284+0+0		X-OCN XT		5600		32768	
162	00:03:31:05	6048:4032				3:2	24	LPCM	48000	ManualExposureMode	ManualFocusMode	PresetWhiteBalanceSetup	VENICE 2/CineAltaV 2	MPC-3626 0010007 Version3.00				0.00dB	0.20000	-1.20000	24p	scene-linear	s-gamut3-cine					2025-07-25 14:59:51		NDF	00:00:07:12	6048:4032	100%	SL3SG3Ctos709.cube	00:03:31:23		500			2.362m	14930	24p	s-log3-cine	rec709			500	normal	23950um	35925um	ProgressiveFrame	22	44897				 T2.5_200 CMot		200mm	200mm		false		rec709	rec709	rec709	rec709	EMB1:SL3SG3Ctos709.cube	Clear			4	100%	1:1	none	EMB1:SL3SG3Ctos709.cube	512	1504	5472	6048x4032		172.50deg	1/50sec	00:03:24:12		0.00000	060A2B340101010501010D4313000000464AF93F810806CD143FA6FFFE70E4D1	5478x3830+0+0	5482x2284+0+0		X-OCN XT		5600		32768	
163	00:03:31:06	6048:4032				3:2	24	LPCM	48000	ManualExposureMode	ManualFocusMode	PresetWhiteBalanceSetup	VENICE 2/CineAltaV 2	MPC-3626 0010007 Version3.00				0.00dB	0.20000	-1.20000	24p	scene-linear	s-gamut3-cine					2025-07-25 14:59:51		NDF	00:00:07:12	6048:4032	100%	SL3SG3Ctos709.cube	00:03:31:23		500			2.362m	14930	24p	s-log3-cine	rec709			500	normal	23950um	35925um	ProgressiveFrame	22	44897				 T2.5_200 CMot		200mm	200mm		false		rec709	rec709	rec709	rec709	EMB1:SL3SG3Ctos709.cube	Clear			4	100%	1:1	none	EMB1:SL3SG3Ctos709.cube	512	1504	5472	6048x4032		172.50deg	1/50sec	00:03:24:12		0.00000	060A2B340101010501010D4313000000464AF93F810806CD143FA6FFFE70E4D1	5478x3830+0+0	5482x2284+0+0		X-OCN XT		5600		32768	
164	00:03:31:07	6048:4032				3:2	24	LPCM	48000	ManualExposureMode	ManualFocusMode	PresetWhiteBalanceSetup	VENICE 2/CineAltaV 2	MPC-3626 0010007 Version3.00				0.00dB	0.20000	-1.20000	24p	scene-linear	s-gamut3-cine					2025-07-25 14:59:51		NDF	00:00:07:12	6048:4032	100%	SL3SG3Ctos709.cube	00:03:31:23		500			2.362m	14930	24p	s-log3-cine	rec709			500	normal	23950um	35925um	ProgressiveFrame	22	44897				 T2.5_200 CMot		200mm	200mm		false		rec709	rec709	rec709	rec709	EMB1:SL3SG3Ctos709.cube	Clear			4	100%	1:1	none	EMB1:SL3SG3Ctos709.cube	512	1504	5472	6048x4032		172.50deg	1/50sec	00:03:24:12		0.00000	060A2B340101010501010D4313000000464AF93F810806CD143FA6FFFE70E4D1	5478x3830+0+0	5482x2284+0+0		X-OCN XT		5600		32768	
165	00:03:31:08	6048:4032				3:2	24	LPCM	48000	ManualExposureMode	ManualFocusMode	PresetWhiteBalanceSetup	VENICE 2/CineAltaV 2	MPC-3626 0010007 Version3.00				0.00dB	0.20000	-1.20000	24p	scene-linear	s-gamut3-cine					2025-07-25 14:59:51		NDF	00:00:07:12	6048:4032	100%	SL3SG3Ctos709.cube	00:03:31:23		500			2.362m	14930	24p	s-log3-cine	rec709			500	normal	23950um	35925um	ProgressiveFrame	22	44897				 T2.5_200 CMot		200mm	200mm		false		rec709	rec709	rec709	rec709	EMB1:SL3SG3Ctos709.cube	Clear			4	100%	1:1	none	EMB1:SL3SG3Ctos709.cube	512	1504	5472	6048x4032		172.50deg	1/50sec	00:03:24:12		0.00000	060A2B340101010501010D4313000000464AF93F810806CD143FA6FFFE70E4D1	5478x3830+0+0	5482x2284+0+0		X-OCN XT		5600		32768	
166	00:03:31:09	6048:4032				3:2	24	LPCM	48000	ManualExposureMode	ManualFocusMode	PresetWhiteBalanceSetup	VENICE 2/CineAltaV 2	MPC-3626 0010007 Version3.00				0.00dB	0.20000	-1.20000	24p	scene-linear	s-gamut3-cine					2025-07-25 14:59:51		NDF	00:00:07:12	6048:4032	100%	SL3SG3Ctos709.cube	00:03:31:23		500			2.362m	14930	24p	s-log3-cine	rec709			500	normal	23950um	35925um	ProgressiveFrame	22	44897				 T2.5_200 CMot		200mm	200mm		false		rec709	rec709	rec709	rec709	EMB1:SL3SG3Ctos709.cube	Clear			4	100%	1:1	none	EMB1:SL3SG3Ctos709.cube	512	1504	5472	6048x4032		172.50deg	1/50sec	00:03:24:12		0.00000	060A2B340101010501010D4313000000464AF93F810806CD143FA6FFFE70E4D1	5478x3830+0+0	5482x2284+0+0		X-OCN XT		5600		32768	
167	00:03:31:10	6048:4032				3:2	24	LPCM	48000	ManualExposureMode	ManualFocusMode	PresetWhiteBalanceSetup	VENICE 2/CineAltaV 2	MPC-3626 0010007 Version3.00				0.00dB	0.20000	-1.30000	24p	scene-linear	s-gamut3-cine					2025-07-25 14:59:51		NDF	00:00:07:12	6048:4032	100%	SL3SG3Ctos709.cube	00:03:31:23		500			2.362m	14930	24p	s-log3-cine	rec709			500	normal	23950um	35925um	ProgressiveFrame	22	44897				 T2.5_200 CMot		200mm	200mm		false		rec709	rec709	rec709	rec709	EMB1:SL3SG3Ctos709.cube	Clear			4	100%	1:1	none	EMB1:SL3SG3Ctos709.cube	512	1504	5472	6048x4032		172.50deg	1/50sec	00:03:24:12		0.00000	060A2B340101010501010D4313000000464AF93F810806CD143FA6FFFE70E4D1	5478x3830+0+0	5482x2284+0+0		X-OCN XT		5600		32768	
168	00:03:31:11	6048:4032				3:2	24	LPCM	48000	ManualExposureMode	ManualFocusMode	PresetWhiteBalanceSetup	VENICE 2/CineAltaV 2	MPC-3626 0010007 Version3.00				0.00dB	0.20000	-1.30000	24p	scene-linear	s-gamut3-cine					2025-07-25 14:59:51		NDF	00:00:07:12	6048:4032	100%	SL3SG3Ctos709.cube	00:03:31:23		500			2.362m	14930	24p	s-log3-cine	rec709			500	normal	23950um	35925um	ProgressiveFrame	22	44897				 T2.5_200 CMot		200mm	200mm		false		rec709	rec709	rec709	rec709	EMB1:SL3SG3Ctos709.cube	Clear			4	100%	1:1	none	EMB1:SL3SG3Ctos709.cube	512	1504	5472	6048x4032		172.50deg	1/50sec	00:03:24:12		0.00000	060A2B340101010501010D4313000000464AF93F810806CD143FA6FFFE70E4D1	5478x3830+0+0	5482x2284+0+0		X-OCN XT		5600		32768	
169	00:03:31:12	6048:4032				3:2	24	LPCM	48000	ManualExposureMode	ManualFocusMode	PresetWhiteBalanceSetup	VENICE 2/CineAltaV 2	MPC-3626 0010007 Version3.00				0.00dB	0.20000	-1.20000	24p	scene-linear	s-gamut3-cine					2025-07-25 14:59:51		NDF	00:00:07:12	6048:4032	100%	SL3SG3Ctos709.cube	00:03:31:23		500			2.362m	14930	24p	s-log3-cine	rec709			500	normal	23950um	35925um	ProgressiveFrame	22	44897				 T2.5_200 CMot		200mm	200mm		false		rec709	rec709	rec709	rec709	EMB1:SL3SG3Ctos709.cube	Clear			4	100%	1:1	none	EMB1:SL3SG3Ctos709.cube	512	1504	5472	6048x4032		172.50deg	1/50sec	00:03:24:12		0.00000	060A2B340101010501010D4313000000464AF93F810806CD143FA6FFFE70E4D1	5478x3830+0+0	5482x2284+0+0		X-OCN XT		5600		32768	
170	00:03:31:13	6048:4032				3:2	24	LPCM	48000	ManualExposureMode	ManualFocusMode	PresetWhiteBalanceSetup	VENICE 2/CineAltaV 2	MPC-3626 0010007 Version3.00				0.00dB	0.20000	-1.20000	24p	scene-linear	s-gamut3-cine					2025-07-25 14:59:51		NDF	00:00:07:12	6048:4032	100%	SL3SG3Ctos709.cube	00:03:31:23		500			2.362m	14930	24p	s-log3-cine	rec709			500	normal	23950um	35925um	ProgressiveFrame	22	44897				 T2.5_200 CMot		200mm	200mm		false		rec709	rec709	rec709	rec709	EMB1:SL3SG3Ctos709.cube	Clear			4	100%	1:1	none	EMB1:SL3SG3Ctos709.cube	512	1504	5472	6048x4032		172.50deg	1/50sec	00:03:24:12		0.00000	060A2B340101010501010D4313000000464AF93F810806CD143FA6FFFE70E4D1	5478x3830+0+0	5482x2284+0+0		X-OCN XT		5600		32768	
171	00:03:31:14	6048:4032				3:2	24	LPCM	48000	ManualExposureMode	ManualFocusMode	PresetWhiteBalanceSetup	VENICE 2/CineAltaV 2	MPC-3626 0010007 Version3.00				0.00dB	0.20000	-1.20000	24p	scene-linear	s-gamut3-cine					2025-07-25 14:59:51		NDF	00:00:07:12	6048:4032	100%	SL3SG3Ctos709.cube	00:03:31:23		500			2.362m	14930	24p	s-log3-cine	rec709			500	normal	23950um	35925um	ProgressiveFrame	22	44897				 T2.5_200 CMot		200mm	200mm		false		rec709	rec709	rec709	rec709	EMB1:SL3SG3Ctos709.cube	Clear			4	100%	1:1	none	EMB1:SL3SG3Ctos709.cube	512	1504	5472	6048x4032		172.50deg	1/50sec	00:03:24:12		0.00000	060A2B340101010501010D4313000000464AF93F810806CD143FA6FFFE70E4D1	5478x3830+0+0	5482x2284+0+0		X-OCN XT		5600		32768	
172	00:03:31:15	6048:4032				3:2	24	LPCM	48000	ManualExposureMode	ManualFocusMode	PresetWhiteBalanceSetup	VENICE 2/CineAltaV 2	MPC-3626 0010007 Version3.00				0.00dB	0.20000	-1.30000	24p	scene-linear	s-gamut3-cine					2025-07-25 14:59:51		NDF	00:00:07:12	6048:4032	100%	SL3SG3Ctos709.cube	00:03:31:23		500			2.362m	14930	24p	s-log3-cine	rec709			500	normal	23950um	35925um	ProgressiveFrame	22	44897				 T2.5_200 CMot		200mm	200mm		false		rec709	rec709	rec709	rec709	EMB1:SL3SG3Ctos709.cube	Clear			4	100%	1:1	none	EMB1:SL3SG3Ctos709.cube	512	1504	5472	6048x4032		172.50deg	1/50sec	00:03:24:12		0.00000	060A2B340101010501010D4313000000464AF93F810806CD143FA6FFFE70E4D1	5478x3830+0+0	5482x2284+0+0		X-OCN XT		5600		32768	
